,Coefficient
e1,-0.7678622546481553
d6,-0.00690592794226931
r1,0.12704735075661114
r2,-0.009333908130957781
r3,0.7970892440663342
r5,-0.3037398854080589
r7,-0.07865648464004134
r9,0.024946083415338705
r10,-0.06889939348340493
r13,-0.03302064482134642
r15,-1.1378413327197354
r19,1.3903191437694333
r20,-1.4460660782501642
r21,-0.42514430397013975
r22,-1.0446190042587669
r24,-0.1983661995049786
r25,-0.39155230613723824
r26,0.4555897862969526
r27,0.08848606752160539
f1,-0.02378267146430319
f3,0.1597979964073298
f5,0.12355568512612407
f6,-0.21610581090035447
f7,0.33490356909819363
f8,0.2401009265655699
f9,-0.3211232343746711
f10,-0.13447557676748884
f11,0.5278813522334901
f12,-0.44136305989590163
f13,-0.015892111826097927
f14,-0.4754057195608457
f15,0.3836095784582812
f16,-0.28769093321804834
f17,0.0069848107783152735
r12,0.8936598810472284
r14,0.09043204120780818
r16,-0.20287687239736174
r18,-0.04974422005313844
f4,0.1437623041334945
f18,-0.15094168057052998
f19,0.21536827512224643
f20,0.704620311297995
f21,0.19074675855536316
f22,0.10557620742332197
f23,0.29805227808174406
f24,-0.22661652649300038
r17,0.2351557121447659
f2,0.33373842434580286
d1_1,-0.5972444550068358
d1_2,0.6642774059036025
d2_transformed,-0.4614299229362605
d3_1,0.10650183760081185
d3_2,0.46562510449084077
d3_3,0.10879482602444668
d3_4,-0.5667143925714715
d3_5,-0.5253986126348164
d4_1,-0.1955783453769456
d4_2,0.030386687556388847
d5_poly_1,-0.8232473553776275
d5_poly_2,-0.16205535350150838
d5_poly_3,-0.5891285004726956
d5_poly_4,0.024526349005460135
r6_poly_1,-0.13133915415239958
r6_poly_2,-0.3954424218565762
r6_poly_3,0.038513054797207465
r11_poly_1,-0.07354871406873519
r11_poly_2,-0.11596721604624162
r11_poly_3,-0.22763940399246188
r11_poly_4,0.2765104481705588
r4,-0.7139530876741423
r28_1,1.7853555496069964
r28_2,-0.12301122245187626
r28_3,0.07324474616757937
f25,0.07939572886012614
f26,1.1975158071645657
